epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.73772,1.62248,2.29297,1.75015,0.40799,0.06866,0.08663,0.02856,2.33415,3.42419,2.70019,0.000321839,0.000321839,0.0681379
2,10.2983,1.51409,1.7298,1.67733,0.49274,0.39613,0.36553,0.19005,1.86091,2.26024,1.8382,0.000644362,0.000644362,0.0351271
3,14.7076,1.44689,1.56903,1.59937,0.47101,0.40317,0.3909,0.18815,1.92263,2.09927,1.96034,0.000955885,0.000955885,0.00210531
4,19.2457,1.47832,1.52254,1.60397,0.45947,0.39958,0.35996,0.18469,1.74136,2.19614,1.88115,0.0009505,0.0009505,0.0009505
5,23.9333,1.47203,1.51361,1.60837,0.43404,0.51408,0.43536,0.22882,1.75339,1.78614,1.70872,0.000934,0.000934,0.000934
6,28.3524,1.45864,1.48998,1.61956,0.51783,0.51056,0.48574,0.23863,1.82397,1.84327,1.77412,0.0009175,0.0009175,0.0009175
7,33.6151,1.44513,1.43379,1.58211,0.45872,0.53697,0.44337,0.21284,1.84137,1.74595,1.81194,0.000901,0.000901,0.000901
8,38.3013,1.40891,1.40051,1.58717,0.47305,0.57042,0.48372,0.25842,1.63053,1.6267,1.61608,0.0008845,0.0008845,0.0008845
9,42.8044,1.40661,1.3797,1.5713,0.60975,0.52541,0.55224,0.2916,1.69008,1.53034,1.6494,0.000868,0.000868,0.000868
10,47.2346,1.37538,1.34569,1.55139,0.50786,0.5493,0.4865,0.26039,1.6451,1.72674,1.64889,0.0008515,0.0008515,0.0008515
11,51.6451,1.36255,1.32936,1.53472,0.57082,0.49472,0.51356,0.29077,1.58685,1.62166,1.5881,0.000835,0.000835,0.000835
12,56.0765,1.36969,1.31635,1.53577,0.50561,0.49472,0.48067,0.25341,1.69194,1.73468,1.73769,0.0008185,0.0008185,0.0008185
13,60.4705,1.32078,1.27263,1.51393,0.56259,0.55282,0.52425,0.28886,1.61826,1.46479,1.58853,0.000802,0.000802,0.000802
14,64.8096,1.30072,1.24955,1.48528,0.53039,0.57267,0.53892,0.29064,1.65136,1.41764,1.64288,0.0007855,0.0007855,0.0007855
15,69.1673,1.32947,1.20921,1.50399,0.57651,0.48893,0.50599,0.29214,1.54625,1.4928,1.56205,0.000769,0.000769,0.000769
16,73.5324,1.28627,1.21393,1.47026,0.56347,0.5088,0.51295,0.28257,1.61679,1.58969,1.63499,0.0007525,0.0007525,0.0007525
17,77.831,1.28871,1.20605,1.50221,0.66961,0.55664,0.60359,0.35498,1.50039,1.31492,1.52207,0.000736,0.000736,0.000736
18,82.1933,1.27507,1.22557,1.48217,0.64178,0.53169,0.57461,0.32739,1.5722,1.44855,1.5801,0.0007195,0.0007195,0.0007195
19,86.5025,1.26439,1.16237,1.47061,0.68714,0.48944,0.58523,0.35629,1.46429,1.40134,1.49114,0.000703,0.000703,0.000703
20,90.9118,1.2967,1.18706,1.48135,0.61102,0.48768,0.53712,0.31796,1.50969,1.52565,1.51296,0.0006865,0.0006865,0.0006865
21,95.3161,1.25147,1.16311,1.47239,0.50266,0.54225,0.49249,0.28246,1.47404,1.464,1.51918,0.00067,0.00067,0.00067
22,99.7246,1.26199,1.14616,1.44811,0.53172,0.58973,0.51395,0.30737,1.39716,1.43409,1.45691,0.0006535,0.0006535,0.0006535
23,104.129,1.22208,1.13163,1.44721,0.61689,0.61234,0.65814,0.3967,1.42246,1.24832,1.48495,0.000637,0.000637,0.000637
24,108.631,1.22402,1.10454,1.43774,0.65371,0.57042,0.62288,0.3782,1.4748,1.30792,1.48679,0.0006205,0.0006205,0.0006205
25,113.191,1.19815,1.09555,1.42359,0.61572,0.56338,0.58443,0.35059,1.48825,1.37346,1.52487,0.000604,0.000604,0.000604
26,117.778,1.22731,1.0833,1.42224,0.62732,0.58678,0.61723,0.36769,1.50943,1.30053,1.52472,0.0005875,0.0005875,0.0005875
27,122.306,1.21854,1.09037,1.43715,0.60909,0.58627,0.62175,0.38002,1.42483,1.29025,1.4776,0.000571,0.000571,0.000571
28,126.84,1.21826,1.09107,1.43081,0.61752,0.59693,0.62263,0.37523,1.4266,1.2971,1.48191,0.0005545,0.0005545,0.0005545
29,131.441,1.20956,1.084,1.40919,0.65066,0.52993,0.60922,0.38337,1.41459,1.39946,1.45382,0.000538,0.000538,0.000538
30,136.057,1.19662,1.06585,1.40993,0.60894,0.59507,0.59569,0.36836,1.38458,1.27142,1.44202,0.0005215,0.0005215,0.0005215
